8898,64874,55047,1933
9009,64831,55030,1935
9120,64785,55054,1933
9233,64870,55034,1934
9345,64870,55040,1933
9456,64873,55040,1934
9567,64876,55083,1934
9679,64972,55125,1927
9790,64952,55084,1938
9901,64919,55107,1950
10012,64889,55100,1938
10124,64880,55056,1944
10235,64883,55041,1939
10346,65003,55099,1945
10457,65002,55093,1941
10569,65002,55088,1941
10680,64899,55042,1941
10791,64904,55048,1955
10902,64889,55064,1937
11014,65005,55063,1955
11125,65001,55064,1958
11236,65002,55117,1954
11347,64876,55088,1943
11459,64879,55009,1945
11570,64882,55016,1945
11681,64891,55047,1946
11793,64997,55058,1951
11904,65002,55076,1959
12015,65002,55108,1958
12126,64809,54992,1950
12238,64828,55012,1945
12349,64844,55026,1947
12460,64985,55062,1950
12571,64992,55048,1950
12683,64998,55058,1953
12794,64857,55002,1948
12905,64823,54998,1950
13017,64800,54994,1965
13128,64949,55095,1957
13239,64953,55042,1968
13350,64957,55045,1964
13462,65032,55075,1955
13573,64997,55027,1972
13684,64962,55035,1950
13807,64970,55038,1969
13918,64962,55020,1958
14029,64963,55021,1954
14140,64963,55024,1969
14252,65044,55071,1958
14363,65023,55033,1957
14474,64991,55077,1953
14586,64944,55011,1968
14697,64947,55010,1956
14808,64937,54998,1960
14919,65061,55099,1961
15031,65056,55027,1962
15142,65041,55033,1966
15253,64940,55046,1960
15364,64931,54992,1961
15476,64934,54994,1959
15587,65064,55086,1962
15698,65068,55033,1962
15809,65069,55079,1962
15921,64925,54984,1976
16032,64918,54989,1963
16143,64928,54985,1961
16264,65051,55055,1982
16375,65060,55014,1978
16487,65057,55022,1960
16598,65066,55016,1959
16709,64918,55004,1964
16820,64925,54995,1970
16932,64931,55061,1977
17043,65062,55032,1968
17154,65065,55024,1981
17266,65071,55040,1970
17377,64881,54962,1968
17488,64900,54953,1977
17599,64916,55021,1969
17711,65044,55026,1978
17822,65050,54994,1970
17933,65055,55044,1960
18045,64770,54912,1975
18156,64795,54916,1968
18267,64814,54910,1967
18379,65007,54987,1978
18490,65022,54956,1982
18601,65027,55004,1970
18712,65032,54979,1982
18824,64766,54868,1953
18935,64736,54857,1968
19046,64718,54848,1966
19158,64968,54950,1976
19280,64977,54942,1977
19391,64980,54959,1976
19502,65101,54973,1988
19613,65086,54975,1982
19725,65061,55025,1989
19836,64948,54912,1977
19947,64949,54964,1992
